Link,Name,Affiliation,Tags
https://www.linkedin.com/in/ujwalbhate?authType=name&authToken=KyMF&locale=en_US&srchid=3509665261474270053469&srchindex=2&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270053469%2CVSRPtargetId%3A395620471%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Ujwal Bhate,Machine Learning and Data Monetization C.o.E. Lead at Infosys,"Statistical Learning, Machine Learning"
https://sites.google.com/site/aviseklahiri/home,Avisek Lahiri,"Post doctoral student, IIT Kharagpur","Computer Vision, Image Processing"
http://researchweb.iiit.ac.in/~anand.mishra/,Anand Mishra,Research fellow at IIIT Hyderabad,"Pattern Recognition, Computer Vision"
https://www.linkedin.com/in/nikhil-priyatam-pattisapu-31608667?authType=name&authToken=H0xH&locale=en_US&srchid=3509665261463110795893&srchindex=2&srchtotal=76&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261463110795893%2CVSRPtargetId%3A236069442%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Nikhil Priyatam Pattisapu,PhD Student at IIIT Hyderabad,"NLP, Artificial Intelligence"
https://www.linkedin.com/in/prachi-jain-7bb79738?authType=name&authToken=gP6T&locale=en_US&srchid=3509665261463113921229&srchindex=2&srchtotal=45&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261463113921229%2CVSRPtargetId%3A133324991%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Prachi Jain,PhD Student at IIT Delhi,"NLP, Probabilistic Graphical Modeling"
https://www.linkedin.com/in/priya-radhakrishnan-36728735?authType=name&authToken=ZS-Z&locale=en_US&srchid=3509665261463110821943&srchindex=3&srchtotal=46&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261463110821943%2CVSRPtargetId%3A123101503%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Priya Radhakrishnan,PhD Student at IIIT Hyderabad,"NLP, Information Extraction and Retrieval"
https://www.linkedin.com/in/sonalgoyal?authType=name&authToken=X4Dq&trk=contacts-contacts-list-contact_name-0,Sonal Goyal,Founder at Nube Technologies,"Big Data, Machine Learning"
https://www.linkedin.com/in/karthik-r-2b01b424?authType=name&authToken=iD_a&locale=en_US&srchid=3509665261474273954159&srchindex=31&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474273954159%2CVSRPtargetId%3A84091812%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Karthik R,Data Scientist at Tiger Analytics,"Pattern Recognition, Statistical Analysis"
https://www.linkedin.com/in/vempatisreekanth?authType=name&authToken=sp6H&trk=prof-sb-browse_map-name,Sreekanth Vempati,Data Scientist at Myntra.com,"Computer Vision, Image Processing"
https://www.linkedin.com/in/nijesh-kanjinghat-65770822?authType=name&authToken=JLOO&locale=en_US&srchid=3509665261474273954159&srchindex=32&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474273954159%2CVSRPtargetId%3A79392163%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Nijesh Kanjinghat,Data Scientist at IBM,"NLP, Artificial Neural Networks"
https://in.linkedin.com/in/simran-sethi-3a556652,Simran Sethi,"ML engineer/scientist in industry, Innovaccer Inc., Noida","Adaptive Partitioning, Bio-informatics"
https://www.ghulamahmedansari.com,Ghulam Ahmed Ansari,"Student, Indian Institute of Technology Madras, Chennai","Recommender systems, Recurrent Neural Networks"
https://www.linkedin.com/in/joehrisaac/,Joseph Hosanna Raj I.,"PhD student in machine learning, Indian Institute of Technology Madras, Chennai, Tamil Nadu","Virtual reality, Computer Vision"
https://in.linkedin.com/in/nisrao,Nishant Rao,"ML engineer/scientist in industry, Yours Honestly","Data Analytics, Data Science"
https://www.linkedin.com/in/sanket-sachdeva-bab529111,Sanket sachdeva,"ML engineer/scientist in industry, Spade infotech","Data Science, Machine learning"
https://www.linkedin.com/in/vandana-dhingra-9648a017?authType=NAME_SEARCH&authToken=DW1y&locale=en_US&srchid=3509665261486531034309&srchindex=5&srchtotal=14&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261486531034309%2CVSRPtargetId%3A58933084%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Atrue%2CauthType%3ANAME_SEARCH,Dr. Vandana Dhingra,"Faculty, Savitribai Phule Pune University","Recommender systems, Sentiment Analysis"
http://in.linkedin.com/in/xinformatics,Shashank Yadav,"ML student, IIT D","Bio-informatics, Computational Neuroscience"
https://www.linkedin.com/in/kirubakumaresh,Kirubakumaresh Rajendran,"ML engineer/scientist in industry, IBM, Bengaluru, India","Machine learning, Natural Language Processing"
https://www.linkedin.com/in/yogeshkulkarni,Yogesh H. Kulkarni,"ML engineer/scientist in industry, College of Engineering Pune","Natural Language Processing, Sentiment Analysis"
https://in.linkedin.com/in/deepak-sharma-0b03b44,Deepak Sharma,"PhD student in machine learning, NSIT","Information Extraction and Retrieval, Natural Language Processing"
https://www.linkedin.com/in/akhil-p-m-657b6031/,Akhil P M,"ML engineer/scientist in industry, MobME Wireless Solutions Ltd.","Machine learning, Natural Language Processing"
https://www.linkedin.com/in/dhawaljoh,Dhawal Joharapurkar,"PhD student in machine learning, University of California, Santa Cruz","Natural Language Processing, Statistical ML"
https://in.linkedin.com/in/yogeshparte,Yogesh PARTE,"ML engineer/scientist in industry, Y P Consulting Services, Mumbai","Classification, Optimization Algorithms"
https://in.linkedin.com/in/sudarsun-santhiappan-a621a873,Sudarsun Santhiappan,"PhD student at IIT Madras. Previously, BuddiHealth Inc","Information Extraction and Retrieval, Statistical ML"
https://www.linkedin.com/in/sayan3012,Sayan Putatunda,"PhD student in machine learning, Indian Institute of Management Ahmedabad","Data Streams, Statistical ML"
https://www.linkedin.com/in/nipunbatra0,Nipun Batra,"PhD student in machine learning, IIIT Delhi/University of Virginia","Computational Sustainability, Artificial Intelligence"
https://in.linkedin.com/in/pankaj-malhotra-76b60a24,Pankaj Malhotra,"ML engineer/scientist, TCS Research","Deep learning, Neural Networks"
mailto:m.gautham@hotmail.com,Gautham Muthuravichandran,"PhD student in machine learning, Indian Institute of Technology - Madras","Trading Predictions, Reinforcement Learning"
https://www.linkedin.com/in/srishtigautamiitmandi/,Srishti Gautam,"MS student in machine learning, IIT Mandi","Medical Image Processing, Computer Vision"
https://in.linkedin.com/in/sameerpitalwalla,Sameer Pitalwalla,"CEO, Culture Machine, Mumbai, Pune, Chennai, Delhi","Computational Linguistics, Computer Vision"
https://www.linkedin.com/in/asif-salim-023163ba/,Asif Salim,"PhD student in machine learning, Indian Institute of Space Science and Technology","Bayesian Networks/Statistics, Pattern Recognition."
https://in.linkedin.com/in/somya-gupta-1703,Somya Gupta,"ML engineer/scientist, Flipkart, India","Natural Language Processing, Predictive Analytics"
https://www.linkedin.com/in/vikramg,Vikram Garg,"ML engineer/scientist in industry, Myntra designs Pvt Ltd, Bangalore","Bayesian Networks/Statistics, Computer Vision"
https://in.linkedin.com/in/akshay-agarwal-093212109,Akshay Agarwal,"PhD student in machine learning, IIIT-Delhi","Support Vector Machines (SVMs), Computer Vision"
https://www.linkedin.com/in/rohit-keshari-31379443?trk=nav_responsive_tab_profile_pic,Rohit Keshari,"Biometrics and Machine Learning, Indraprastha Institute of Information Technology-Delhi (IIIT-D), India","Recurrent Neural Networks, Pattern Recognition."
https://www.linkedin.com/in/dubey206neha,Neha Dubey,"MS(research) student in NLP, IIT madras","Computational Linguistics, Information Extraction and Retrieval"
https://www.linkedin.com/in/deviganesan,G.Devi,"PhD student in machine learning, IIT Madras","Natural Language Processing, Transfer Learning"
https://in.linkedin.com/in/hardikmeisheri,Hardik Meisheri,"ML engineer/scientist in industry, Tata Consultancy Services, Gurgaon","Natural Language Processing, Optimization Algorithms"
https://www.linkedin.com/in/harshhemani/,Harsh Hemani,"ML engineer/scientist in industry, Bhabha Atomic Research Centre","Unsupervised Learning, Speech Recognition"
https://in.linkedin.com/in/tapanrshah,TAPAN SHAH,"ML engineer/scientist in industry, GE GLOBAL RESEARCH BANGALORE","Time series modeling, Predictive Analytics."
https://www.linkedin.com/in/aakarshmalhotra,Aakarsh Malhotra,"PhD student in machine learning, IIIT-Delhi","Image Processing (face, fingerprint) recog, Small-scale machine learning."
https://in.linkedin.com/in/anshulsolanki,Anshul Solanki,"ML engineer/scientist in industry, Pitney Bowes , NCR","Natural Language Processing, Recurrent Neural Networks"
https://in.linkedin.com/in/ritesh-ratti-a5311615,Ritesh Ratti,"ML engineer/scientist in industry, Pitney Bowes Software , Noida","Graphical Models, Information Extraction and Retrieval"
https://in.linkedin.com/in/ayesha-siddiqa-02032834,Ayesha Siddiqa,"MS student in Machine learning, Indian institute of technology (Chennai)","Active Learning, Bayesian Networks/Statistics"
https://www.linkedin.com/in/vivek-murugesan,Vivek Murugesan,"ML engineer/scientist in industry, Crayon Data, Chennai","Information Extraction and Retrieval, Machine learning, Natural Language Processing"
https://www.linkedin.com/in/shikhar-sharma-b98078119?,Shikhar Sharma,"ML engineer/scientist in industry, Pitney Bowes , Noida","Computer Vision, Evolutionary Algorithms"
https://in.linkedin.com/in/sohomghosh,Sohom Ghosh,"Data Scientist at Times Business Solutions, Noida","Natural Language Processing, Recommender systems"
https://www.linkedin.com/in/pseemakurthi,Prasad Seemakurthi,"ML engineer/scientist in industry, American Express","Reinforcement Learning, Spam Detection"
https://in.linkedin.com/in/shreetam-behera-23321752,Shreetam Behera,"PhD student in machine learning, IIT Bhubaneswar","Computer Vision, Machine learning"
https://www.linkedin.com/in/vyom-bhardwaj-a41b85a4,Vyom Bhardwaj,"ML engineer/scientist in industry, Muoro","Bayesian Networks/Statistics, High Frequency Trading Predictions Pattern Recognition."
https://www.linkedin.com/in/manishsgupta/,Manish Gupta,"ML engineer/scientist in industry, Microsoft, Hyderabad","Information Extraction and Retrieval, Natural Language Processing"
https://in.linkedin.com/in/ravneet-singh-48aa2658,Ravneet Singh,ML engineer/scientist in industry,"Deep learning, Recommender systems"
https://www.linkedin.com/in/kajalpuri,Kajal Puri,"ML engineer/scientist in industry, Parallel Dots, Gurgaon","Computer Vision, Machine learning"
https://in.linkedin.com/in/jalemrajrohit,Jalem Raj Rohit,"ML engineer/scientist in industry, Episource, Mumbai","Big Data, Data Science"
https://www.linkedin.com/in/abhinavlitkar/,Abhinav Litkar,"ML engineer/scientist in industry, Mobileum, Gurgaon","Real-time analytics, Unbiased Generative Semi-Supervised Learning"
https://www.linkedin.com/in/anant-khannekar-76768aa3,Anant khannekar,"ML engineer/scientist in industry, Purplle.com","Artificial Intelligence, Prediction Science"
https://www.linkedin.com/in/yaasnadua,Yaasna Dua,"ML engineer/scientist in industry, InfoEdge (naukri.com)","Deep learning, Machine learning"
https://in.linkedin.com/in/zamir-ahmad-siddiqui-776773110,Zamir Ahmad Siddiqui,"ML engineer/scientist in industry, Tata Consultancy Services Pune","Classification, Clustering"
https://www.linkedin.com/in/kosgi-santosh-1a804a26,K Santosh,"ML engineer/scientist in industry, Acalvio Technologies Bangalore","Active Learning, Classification"
https://www.linkedin.com/company/2312777?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2312777%2Cidx%3A2-1-2%2CtarId%3A1486364655559%2Ctas%3ADelhive,Subir,"ML engineer/scientist in industry, Delhivery, Gurgaon","Sentiment Analysis, Clustering"
https://www.linkedin.com/in/saurav-gupta-2b37877b,Saurav Gupta,"ML engineer/scientist in industry, Attentive.ai (Delhi)","Computational Neuroscience, Neural Networks"
https://www.linkedin.com/in/vaisakh-shaj-80ba9b49,Vaisakh S,"ML engineer/scientist in industry, Intel","Deep learning, Machine learning"
https://in.linkedin.com/in/abhinav1kumar,Abhinav Kumar,"ML engineer/scientist in industry, Conduent Labs India, Bangalore","Data Analytics, Image Processing (face, fingerprint) recog"
https://www.linkedin.com/in/mayankbhagya/,Mayank Bhagya,"ML engineer/scientist in industry, Siftr Labs","Computer Vision, Deep learning"
https://in.linkedin.com/in/barunpandey,Barun Pandey,"ML engineer/scientist in industry, DELL EMC","Neural Networks, Predictive Analytics"
https://in.linkedin.com/in/santoshchapaneri,Santosh Chapaneri,"PhD student, St Francis Institute of Technology, Mumbai","Information Extraction and Retrieval, Pattern Recognition"
https://www.linkedin.com/in/rajeev-gupta-0957425/,Rajeev Gupta,"ML engineer/scientist in industry, Iqlect Bangalore","Big Data, Data Analytics"
https://in.linkedin.com/in/nabi-shaikh-97a50a106,Nabi Shaikh,"ML engineer/scientist in industry, Suzlon Energy Ltd","Machine learning, Pattern Recognition"
https://www.linkedin.com/in/tasleem-shaikh-42308296?trk=nav_responsive_tab_profile,Tasleem Shaikh,"ML engineer/scientist in industry, TATA Consultancy Services, Pune","Data Science, Machine learning"
https://www.linkedin.com/in/raksha-jalan-16358a116,Raksha Jalan,"MS student in Machine Learning, IIIT-H","Classification, Deep learning"
https://linkedin.com/in/bikashdebnath,Bikash Debnath,"ML engineer/scientist in industry, Eztia","Data Analytics, Predictive Analytics"
https://in.linkedin.com/in/zainul-abideen-sayed-041a7a70,Sayed Zainul Abideen,"ML engineer/scientist in industry, Haptik","Information Extraction and Retrieval, Natural Language Processing"
https://www.linkedin.com/in/minta-thomas-a189b678/,Minta Thomas,Asst. Prof in Analytics at Aegis School of Data Science and PhD student at K U Leuven Belgium,"Data Science, Deep learning"
https://sites.google.com/iiitd.ac.in/msingh/,Maneet Singh,"PhD student in machine learning, IIIT-Delhi",Deep learning
https://linkedin.com/in/kaulanubhav,Anubhav Kaul,Management Consultant,"Predictive Analytics, Statistical ML"
https://in.linkedin.com/in/niraj09,Dr. Niraj Kumar,"Senior Machine Learning Scientist, Phenompeople","Computational Linguistics, Deep learning"
https://in.linkedin.com/in/sriharshakiran,Sri Harsha,"ML engineer/scientist in industry, IIIT-Hyderabad","Classification, Evolutionary Algorithms"
https://www.linkedin.com/in/soumyadeep-ghosh-7439b3a0/,Soumyadeep Ghosh,"PhD student in machine learning, IIIT Delhi, India","Computer Vision, Deep learning"
https://www.linkedin.com/in/gauravgoswamiiiitd/,Gaurav Goswami,"ML engineer/scientist in industry, IBM India, Bengaluru","Artificial Intelligence, Machine learning"
https://www.linkedin.com/in/dr-ravi-vadlamani-13570a5/,Vadlamani Ravi,"Professor, Institute for Development and Research in Banking Technology, Hyderabad","Data Analytics, Neural Networks"
https://in.linkedin.com/in/harshjoshiprofile,Harsh Joshi,"ML engineer/scientist in industry, Smart Joules Pvt. Ltd. (New Delhi)","Deep learning, Reinforcement Learning"
https://in.linkedin.com/in/rajkumarkannan19,Rajkumar Kannan,"Professor of Computer Science, Bishop Heber College Autonomous Tiruchirappalli","Data Science, Web Mining"
https://sites.google.com/site/patrabidyutkr/,BIDYUT KUMAR PATRA,"Faculty Member, National Institute of Technology Rourkela","Clustering, Data Science"
